"ID","x"
"96",2.6136155128479
"97",7.77105808258057
"98",1.25633347034454
"99",9353.83984375
"100",13.9837913513184
"101",8.09829521179199
"102",11.195650100708
"103",5.31490659713745
"104",9.41528511047363
"105",1.47719287872314
"106",2.5353307723999
"107",7.81881666183472
"108",26.7246170043945
"109",3.61339950561523
"110",1.88269877433777
"111",5.73169374465942
"112",5.39615297317505
"113",3.73912000656128
"114",0.527625322341919
"115",17.0862121582031
"116",4.64696407318115
"117",2.66415143013
"118",46.7588806152344
"119",30.9840221405029
"120",84.9460067749023
"121",172.833450317383
"122",2267.81396484375
"123",27.1501350402832
"124",71.0074844360352
"125",43.6809883117676
"126",54.8242492675781
"127",19.1648464202881
"128",29.5713958740234
"129",14.7047538757324
"130",245.772094726562
"131",11.2968940734863
"132",3.7882068157196
"133",314.816650390625
"134",NA
"135",NA
"136",NA
"137",NA
"138",7.09883069992065
"139",0
"140",207.311950683594
"141",505.713531494141
"142",94.8499450683594
"143",131.738204956055
"144",116.811370849609
"145",57.8695678710938
"146",0.00175998127087951
"147",105.782653808594
"148",0.0167968608438969
"149",7.1637110710144
"150",6.08907890319824
"151",0.121361017227173
"152",1.92168211936951
"153",1.1847026348114
"154",4.37032604217529
"155",16.0428085327148
"156",0.666705846786499
"157",41.8552856445312
"158",34.6647491455078
"159",49.0262451171875
"160",66.4176254272461
"161",42.1449165344238
"162",42.3531532287598
"163",32.0321960449219
"164",80.8011322021484
"165",2133.9423828125
"166",249.95751953125
"167",51.9591484069824
"168",29.3191432952881
"169",61.0518074035645
"170",24.3811912536621
"171",93.5164794921875
"172",47.6698760986328
"173",41.2547988891602
"174",40.3829231262207
"175",53.2690010070801
"176",260.767150878906
"177",1753.61999511719
"178",291.66064453125
"179",144.914352416992
"180",94.3897552490234
"181",235.605606079102
"182",309.156799316406
"183",252.412826538086
"184",387.833099365234
"185",279.909210205078
"186",134.291656494141
"187",355.449066162109
"188",270.475433349609
"189",268.650054931641
"190",384.026397705078
"191",138.509826660156
"192",138.542495727539
"193",3459.67041015625
"194",241.273818969727
"195",111.895263671875
"196",18.9898529052734
"197",26.3369216918945
"198",251.610763549805
"199",26.8920040130615
"200",34.5438423156738
"201",30.4458599090576
"202",196.009826660156
"203",12127.798828125
"204",209.726577758789
"205",514.794372558594
"206",120.685623168945
"207",108.679840087891
"208",34.7393455505371
"209",73.9352111816406
"210",84.526741027832
"211",34.1435813903809
"212",22.9299373626709
"213",472.079986572266
"214",62.7262077331543
"215",49.6081047058105
"216",45.4011611938477
"217",45.879508972168
"218",20.9924430847168
"219",46.3931465148926
"220",57.7809448242188
"221",66.4762191772461
"222",21.2064056396484
"223",31.113410949707
"224",645.153503417969
"225",649.183715820312
"226",1059.44201660156
"227",570.100646972656
"228",735.320922851562
"229",689.868103027344
"230",543.355346679688
"231",32.256462097168
"232",34.3031158447266
"233",26.9748687744141
"234",38.369255065918
"235",558.384338378906
"236",31.8308582305908
"237",32.6137237548828
"238",30.6638488769531
"239",23.5641078948975
"240",27.3104572296143
"241",43.5845375061035
"242",38.3207244873047
"243",40.582088470459
"244",70.5469055175781
"245",33.1551971435547
"246",53.8138961791992
"247",33.7533340454102
"248",29.3856716156006
"249",38.494686126709
"250",25.3824901580811
"251",25.0897903442383
"252",44.6223297119141
"253",32.3013381958008
"254",78.6235122680664
"255",37.0142860412598
"256",23.4752025604248
"257",35.7936668395996
"258",27.4506206512451
"259",4707.76318359375
"260",2072.75952148438
"261",2540.02734375
"262",1047.14453125
"263",132.890869140625
